iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
AD;Andorra;CA;1000000001;Andorra La Vella;-;-;-;Andorra La Vella;AD500;;42.508781;1.529310;1000;AD-07;AN07;;AD.AN;5;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000002;Andorra La Vella;-;-;-;La Margineda;AD500;;42.485747;1.490333;954;AD-07;AN07;;AD.AN;5;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000003;Andorra La Vella;-;-;-;Santa Coloma;AD500;;42.493896;1.497682;960;AD-07;AN07;;AD.AN;5;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000004;Canillo;-;-;-;Canillo;AD100;;42.566648;1.599724;1520;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000005;Canillo;-;-;-;El Forn;AD100;;42.561600;1.601229;1651;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000006;Canillo;-;-;-;Els Plans;AD100;;42.580602;1.635486;1725;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000007;Canillo;-;-;-;El Tarter;AD100;;42.580347;1.648928;1694;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000008;Canillo;-;-;-;El Vilar;AD100;;42.565561;1.602296;1538;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000009;Canillo;-;-;-;Incles;AD100;;42.582898;1.662679;1753;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000010;Canillo;-;-;-;L'Aldosa;AD100;;42.578685;1.632166;1641;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000011;Canillo;-;-;-;Meritxell;AD100;;42.554004;1.590401;1447;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000012;Canillo;-;-;-;Prats;AD100;;42.560275;1.593885;1562;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000013;Canillo;-;-;-;Ransol;AD100;;42.581176;1.638267;1707;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000014;Canillo;-;-;-;Soldeu;AD100;;42.576897;1.667764;1849;AD-02;AN02;;AD.CA;1;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000015;Encamp;-;-;-;Els Cortals;AD200;;42.535451;1.610875;1823;AD-03;AN03;;AD.EN;2;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000016;Encamp;-;-;-;Encamp;AD200;;42.536057;1.583622;1246;AD-03;AN03;;AD.EN;2;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000017;Encamp;-;-;-;Les Bons;AD200;;42.538577;1.586921;1275;AD-03;AN03;;AD.EN;2;Europe/Andorra;+01:00;+02:00
AD;Andorra;CA;1000000018;Encamp;-;-;-;Pas de la Casa;AD200;;42.543664;1.731918;2099;AD-03;AN03;;AD.EN;2;Europe/Andorra;+01:00;+02:00
